wavelength,2500K,3000K,3500K,4000K
18.5175,2.28E-05,8.96E-06,1.48E-06,6.37E-07
18.6725,2.45E-05,9.56E-06,1.58E-06,6.37E-07
18.8275,2.12E-05,8.26E-06,1.38E-06,6.37E-07
18.9825,2.39E-05,9.36E-06,1.58E-06,6.37E-07
19.1375,2.79E-05,1.09E-05,1.88E-06,7.37E-07
19.2925,3.14E-05,1.23E-05,2.08E-06,8.37E-07
19.4475,2.68E-05,1.05E-05,1.78E-06,7.37E-07
19.6025,2.44E-05,9.56E-06,1.58E-06,6.37E-07
19.7575,2.96E-05,1.16E-05,1.98E-06,8.37E-07
19.9125,2.97E-05,1.17E-05,1.98E-06,8.37E-07
